Year	Month	Day	TempMax	TempAvg	TempMin	HumMax	HumAvg	HumMin	WindMax	WindAvg	WindMin	PresMax	PresAvg	PresMin
2016	10	30	13,89	11,22	8,89	94,0	88,7	77,0	3,58	2,15	0,89	30,3	30,2	30,2
2016	10	31	15	10,61	7,78	100,0	88,8	72,0	5,36	3,04	0,89	30,2	30,1	30,1
2016	11	1	10	5,44	1,11	100,0	84	58,0	3,58	2,37	0	30,2	30,2	30,1
2016	11	2	10	4,61	2,22	100,0	83,9	62,0	5,81	2,82	0,45	30,1	30,1	30
2016	11	3	8,89	7,11	2,22	100,0	88,3	76,0	7,15	3,89	0,45	30	29,8	29,6
2016	11	4	7,78	5,44	2,22	93,0	83,2	66,0	5,36	2,5	0,89	29,6	29,5	29,5
2016	11	5	7,22	5,17	3,89	81,0	69,4	61,0	5,81	3,35	1,34	29,7	29,7	29,6
2016	11	6	7,78	5,33	0	93,0	73,6	66,0	5,36	3,35	0,45	29,9	29,8	29,7
2016	11	7	7,22	4,78	1,11	93,0	72,6	61,0	4,02	2,15	0,45	29,9	29,9	29,8
2016	11	8	5	3,28	1,11	87,0	77,5	61,0	4,02	1,83	0,45	29,8	29,6	29,4
2016	11	9	3,89	2,94	1,11	100,0	88,7	81,0	3,13	1,65	0	29,4	29,4	29,4
2016	11	10	7,78	3,33	-1,11	100,0	87,1	66,0	4,47	2,28	0	29,8	29,5	29,3
2016	11	11	8,89	3,61	-2,78	100,0	85,7	71,0	6,71	2,41	0	29,9	29,8	29,6
2016	11	12	11,11	8,22	2,22	100,0	86,6	76,0	8,94	4,25	1,34	30	29,7	29,5
2016	11	13	11,11	6,94	2,22	100,0	91,1	87,0	6,71	3,93	0,45	30,1	30,1	30
2016	11	14	15	13,61	12,22	94,0	89,9	88,0	8,94	6,48	4,02	30	30	29,9
2016	11	15	13,89	10,5	7,78	88,0	79,7	71,0	9,39	6,21	2,68	30	29,9	29,7
2016	11	16	10	6,89	2,78	93,0	82,2	66,0	10,28	7,42	3,58	29,7	29,5	29,4
2016	11	17	5	3,44	1,11	100,0	89,4	81,0	8,05	4,29	0,89	29,3	29	28,9
2016	11	18	5	1,67	0	100,0	91,8	81,0	5,36	2,86	0,89	29,2	29	28,9
2016	11	19	6,11	0,89	-3,89	100,0	91,4	76,0	5,36	2,64	0	29,2	29,2	29,1
2016	11	20	2,22	-0,22	-3,89	100,0	93,8	87,0	3,13	1,56	0	29,4	29,2	29,1
2016	11	21	6,11	0,72	-2,22	100,0	90,8	70,0	8,05	3,44	0,89	29,5	29,4	29,3
2016	11	22	7,22	4,33	-1,11	93,0	82,1	71,0	7,6	3,76	0,89	29,8	29,5	29,3
2016	11	23	6,11	-1,06	-5	100,0	91,5	70,0	2,24	0,89	0	30,3	30,1	29,8
2016	11	24	5	-2,94	-7,22	100,0	92,5	70,0	2,24	0,85	0	30,3	30,3	30,2
2016	11	25	5	-0,33	-6,11	100,0	90,9	81,0	5,36	2,15	0,45	30,3	30,2	30,1
2016	11	26	7,22	2,22	-2,78	100,0	95,8	87,0	4,02	1,34	0,45	30,1	30,1	30
2016	11	27	7,78	5,22	1,11	100,0	85,9	71,0	5,81	1,74	0	30,3	30,3	30,1
2016	11	28	7,22	2,56	0	100,0	89,3	66,0	2,68	1,07	0	30,4	30,4	30,3
